ds,y
2017-09-29 23:59:59,4159.147042
2017-09-30 23:59:59,4327.557678
2017-10-01 23:59:59,4381.058041
2017-10-02 23:59:59,4389.745915
2017-10-03 23:59:59,4309.407278
2017-10-04 23:59:59,4216.245182
2017-10-05 23:59:59,4312.60725
2017-10-06 23:59:59,4362.554735
2017-10-07 23:59:59,4421.879516
2017-10-08 23:59:59,4598.489158
2017-10-09 23:59:59,4760.627945
2017-10-10 23:59:59,4746.937791
2017-10-11 23:59:59,4814.909447
2017-10-12 23:59:59,5438.454008
2017-10-13 23:59:59,5634.969555
2017-10-14 23:59:59,5800.263796
2017-10-15 23:59:59,5688.761308
2017-10-16 23:59:59,5752.18579
2017-10-17 23:59:59,5594.588078
2017-10-18 23:59:59,5577.009011
2017-10-19 23:59:59,5699.300996
2017-10-20 23:59:59,5987.37009
2017-10-21 23:59:59,6013.46
2017-10-22 23:59:59,5993.838767
2017-10-23 23:59:59,5905.05879
2017-10-24 23:59:59,5524.056553
2017-10-25 23:59:59,5739.226825
2017-10-26 23:59:59,5890.175173
2017-10-27 23:59:59,5764.27
2017-10-28 23:59:59,5739.353301
2017-10-29 23:59:59,6138.490766
2017-10-30 23:59:59,6123.090964
2017-10-31 23:59:59,6443.116986
2017-11-01 23:59:59,6741.585617
2017-11-02 23:59:59,7036.636955
2017-11-03 23:59:59,7170.66
2017-11-04 23:59:59,7402.852602
2017-11-05 23:59:59,7383.211826
2017-11-06 23:59:59,6961.565859
2017-11-07 23:59:59,7127.153443
2017-11-08 23:59:59,7465.937481
2017-11-09 23:59:59,7154.705514
2017-11-10 23:59:59,6578.086604
2017-11-11 23:59:59,6351.07
2017-11-12 23:59:59,5880.196368
2017-11-13 23:59:59,6536.501331
2017-11-14 23:59:59,6605.953276
2017-11-15 23:59:59,7294.0
2017-11-16 23:59:59,7839.71199
2017-11-17 23:59:59,7680.417343
2017-11-18 23:59:59,7777.204129
2017-11-19 23:59:59,8035.057864
2017-11-20 23:59:59,8242.038537
2017-11-21 23:59:59,8098.425986
2017-11-22 23:59:59,8242.051059
2017-11-23 23:59:59,8029.540766
2017-11-24 23:59:59,8214.487304
2017-11-25 23:59:59,8793.791479
2017-11-26 23:59:59,9329.889895
2017-11-27 23:59:59,9763.641133
2017-11-28 23:59:59,9944.485737
2017-11-29 23:59:59,9844.372532
2017-11-30 23:59:59,9923.515477
2017-12-01 23:59:59,10858.838475
2017-12-02 23:59:59,10925.125032
2017-12-03 23:59:59,11269.585274
2017-12-04 23:59:59,11621.234367
2017-12-05 23:59:59,11680.59929
2017-12-06 23:59:59,13624.278684
2017-12-07 23:59:59,16736.810692
2017-12-08 23:59:59,16324.79806
2017-12-09 23:59:59,15221.750801
2017-12-10 23:59:59,15326.0
2017-12-11 23:59:59,16821.904683
2017-12-12 23:59:59,17604.68964
2017-12-13 23:59:59,16601.091594
2017-12-14 23:59:59,16646.359
2017-12-15 23:59:59,17722.898559
2017-12-16 23:59:59,19363.194115
2017-12-17 23:59:59,18995.48988
2017-12-18 23:59:59,18942.066258
2017-12-19 23:59:59,17685.879112
2017-12-20 23:59:59,16478.761745
2017-12-21 23:59:59,15656.070108
2017-12-22 23:59:59,14090.88809
2017-12-23 23:59:59,14619.0
2017-12-24 23:59:59,14146.113587
2017-12-25 23:59:59,13916.751084
2017-12-26 23:59:59,15777.095829
2017-12-27 23:59:59,15379.32951
2017-12-28 23:59:59,14446.492319
2017-12-29 23:59:59,14544.524569
2017-12-30 23:59:59,12650.016498
2017-12-31 23:59:59,13880.0
2018-01-01 23:59:59,13406.56
2018-01-02 23:59:59,14762.1514
2018-01-03 23:59:59,15143.01
2018-01-04 23:59:59,15144.70514
2018-01-05 23:59:59,16951.835577
2018-01-06 23:59:59,17130.475045
2018-01-07 23:59:59,16171.295967
2018-01-08 23:59:59,14993.74
2018-01-09 23:59:59,14415.651516
2018-01-10 23:59:59,14883.325743
2018-01-11 23:59:59,13311.83
2018-01-12 23:59:59,13814.466616
2018-01-13 23:59:59,14197.955393
2018-01-14 23:59:59,13650.773768
2018-01-15 23:59:59,13576.829026
2018-01-16 23:59:59,11391.312156
2018-01-17 23:59:59,11176.87
2018-01-18 23:59:59,11296.60886
2018-01-19 23:59:59,11545.513989
2018-01-20 23:59:59,12770.027943
2018-01-21 23:59:59,11511.246551
2018-01-22 23:59:59,10777.428655
2018-01-23 23:59:59,10845.481858
2018-01-24 23:59:59,11392.934418
2018-01-25 23:59:59,11146.757044
2018-01-26 23:59:59,11098.892828
2018-01-27 23:59:59,11428.127458
2018-01-28 23:59:59,11687.914566
2018-01-29 23:59:59,11156.430047
2018-01-30 23:59:59,9983.900768
2018-01-31 23:59:59,10102.082867
2018-02-01 23:59:59,9010.210912
2018-02-02 23:59:59,8810.23804
2018-02-03 23:59:59,9225.86
2018-02-04 23:59:59,8191.321445
2018-02-05 23:59:59,6901.380797
2018-02-06 23:59:59,7702.859319
2018-02-07 23:59:59,7574.66
2018-02-08 23:59:59,8247.357331
2018-02-09 23:59:59,8697.090747
2018-02-10 23:59:59,8547.49
2018-02-11 23:59:59,8075.85073
2018-02-12 23:59:59,8877.655367
2018-02-13 23:59:59,8517.970231
2018-02-14 23:59:59,9490.720299
2018-02-15 23:59:59,10031.23
2018-02-16 23:59:59,10183.787101
2018-02-17 23:59:59,11107.000128
2018-02-18 23:59:59,10380.313698
2018-02-19 23:59:59,11145.484019
2018-02-20 23:59:59,11231.894122
2018-02-21 23:59:59,10454.570087
2018-02-22 23:59:59,9830.052879
2018-02-23 23:59:59,10158.121754
2018-02-24 23:59:59,9689.099311
2018-02-25 23:59:59,9587.23521
2018-02-26 23:59:59,10299.835238
2018-02-27 23:59:59,10552.235218
2018-02-28 23:59:59,10308.764561
2018-03-01 23:59:59,10899.425926
2018-03-02 23:59:59,11022.347339
2018-03-03 23:59:59,11436.249787
2018-03-04 23:59:59,11469.612126
2018-03-05 23:59:59,11417.39
2018-03-06 23:59:59,10710.954232
2018-03-07 23:59:59,9903.169715
2018-03-08 23:59:59,9293.521291
2018-03-09 23:59:59,9252.754183
2018-03-10 23:59:59,8791.47
2018-03-11 23:59:59,9532.172092
2018-03-12 23:59:59,9112.436276
